priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
2211.53846153846,2020,2020-11-12,F,L,172500,S1 2EH,E08000019,{BC8936BC-00E5-0E2C-E053-6C04A8C0DBF4},15727266,78.0,3.0,12,79,83,England and Wales: 2003-2006
2272.72727272727,2021,2021-01-08,F,L,125000,S1 2EH,E08000019,{BEF7EBBF-5A70-7A76-E053-6B04A8C092F7},15928058,55.0,2.0,12,82,86,England and Wales: 2003-2006
2053.57142857143,2021,2021-12-14,F,L,115000,S1 2EH,E08000019,{DBA933FA-0CE4-669D-E053-6B04A8C0AD56},15734239,56.0,2.0,12,80,85,England and Wales: 2003-2006
2750.0,2021,2021-02-05,F,L,187000,S1 2EH,E08000019,{C6209F5F-E27B-295E-E053-6C04A8C0DDCC},15795719,68.0,3.0,12,79,85,England and Wales: 2007 onwards
2214.7582697201,2022,2022-03-28,F,L,217600,S1 2EH,E08000019,{E2D14906-18C3-4C2D-E053-6B04A8C0422B},15865233,98.25,3.0,11,63,77,England and Wales: 2003-2006
1988.63636363636,2021,2021-06-18,F,L,175000,S1 2EH,E08000019,{CFC9085D-1668-9A70-E053-6B04A8C09D6A},15814538,88.0,3.0,12,75,86,England and Wales: 2003-2006
2171.05263157895,2022,2022-02-18,F,L,165000,S1 2EH,E08000019,{E073986B-CB85-2134-E053-6C04A8C0233B},15750463,76.0,3.0,12,84,87,England and Wales: 2003-2006
2107.14285714286,2019,2019-07-05,F,L,177000,S1 2EH,E08000019,{8F1B26BE-3A22-53DB-E053-6C04A8C03649},15786749,84.0,3.0,11,70,83,England and Wales: 2003-2006
2177.21518987342,2021,2021-06-29,F,L,172000,S1 2EH,E08000019,{D22473F6-171E-7B40-E053-6C04A8C0A630},15809265,79.0,3.0,11,72,84,England and Wales: 2003-2006
2120.25316455696,2019,2019-06-19,F,L,167500,S1 2EH,E08000019,{8F1B26BE-3A0F-53DB-E053-6C04A8C03649},15740830,79.0,3.0,11,78,85,England and Wales: 2003-2006
2347.82608695652,2021,2021-11-02,F,L,162000,S1 2EH,E08000019,{D4D42646-664D-27F6-E053-6C04A8C0A572},15900890,69.0,3.0,12,83,87,England and Wales: 2007 onwards
1866.15186615187,2019,2019-12-02,F,L,145000,S1 2EH,E08000019,{9DBAD222-46F7-6EB3-E053-6B04A8C0F257},15857816,77.7,3.0,12,75,82,England and Wales: 2003-2006
1875.71265678449,2020,2020-08-27,F,L,164500,S1 2EH,E08000019,{B32EBB13-EDC9-3C99-E053-6C04A8C09CA1},15869753,87.7,3.0,11,78,85,England and Wales: 2003-2006
2551.02040816327,2021,2021-03-12,F,L,187500,S1 2EH,E08000019,{C3C3F9B6-5815-362B-E053-6B04A8C03ACC},15804941,73.5,3.0,12,69,77,England and Wales: 1996-2002
2083.33333333333,2020,2020-12-03,F,L,125000,S1 2EH,E08000019,{BC8936BC-00E7-0E2C-E053-6C04A8C0DBF4},15736230,60.0,2.0,12,82,86,England and Wales: 2003-2006
2314.4996596324,2021,2021-03-23,F,L,170000,S1 2EN,E08000019,{C8A3A576-A849-0425-E053-6C04A8C0947B},15802346,73.45,3.0,12,18,48,England and Wales: before 1900
1670.10309278351,2020,2020-08-10,F,L,162000,S1 2EN,E08000019,{B0A9D11B-D01C-4C1F-E053-6C04A8C0D716},15793855,97.0,3.0,12,56,79,England and Wales: 1996-2002
2303.37078651685,2022,2022-02-22,F,L,205000,S1 2EN,E08000019,{DE2D0CE0-36F9-51EE-E053-6C04A8C00671},15921056,89.0,3.0,12,57,58,England and Wales: 2003-2006
2243.24324324324,2020,2020-09-16,F,L,166000,S1 2EN,E08000019,{BA558B33-206F-76EF-E053-6B04A8C0B4B7},15905537,74.0,3.0,11,28,64,England and Wales: 1900-1929
2565.5737704918,2020,2020-02-21,F,L,156500,S1 2EN,E08000019,{A2479555-9ECB-74C7-E053-6B04A8C0887D},15762248,61.0,3.0,12,56,72,England and Wales: 1900-1929
2526.31578947368,2019,2019-02-28,F,L,48000,S1 2FA,E08000019,{8A78B2B0-10C0-5CB0-E053-6B04A8C0F504},15895087,19.0,1.0,11,76,80,England and Wales: 1930-1949
1758.62068965517,2019,2019-04-29,F,L,51000,S1 2FA,E08000019,{8CAC1318-BAC3-0253-E053-6B04A8C08E51},15775288,29.0,1.0,12,61,77,England and Wales: 1930-1949
2500.0,2019,2019-04-01,F,L,150000,S1 2FG,E08000019,{8A78B2B0-0FE7-5CB0-E053-6B04A8C0F504},15894269,60.0,2.0,11,58,78,England and Wales: 1996-2002
2254.23728813559,2020,2020-03-05,F,L,133000,S1 2FG,E08000019,{A96E4ACC-9581-9205-E053-6C04A8C0DA09},15894163,59.0,2.0,12,61,79,England and Wales: 1900-1929
1957.14285714286,2021,2021-01-15,F,L,137000,S1 2FG,E08000019,{DE2D0CE0-374C-51EE-E053-6C04A8C00671},15841422,70.0,2.0,12,50,78,England and Wales: 1900-1929
2632.39875389408,2020,2020-01-31,F,L,169000,S1 2FG,E08000019,{9FF0D96A-3245-11ED-E053-6C04A8C06383},15839739,64.2,2.0,11,44,67,England and Wales: 2007 onwards
1833.33333333333,2019,2019-03-01,F,L,55000,S1 2FP,E08000019,{85866A65-4622-143F-E053-6B04A8C06A15},15913458,30.0,1.0,11,58,73,England and Wales: 1983-1990
