priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,latitude,longitude
3550.23734177215,2019,2019-01-18,D,F,359000,CF15 9SP,W06000015,{8355F009-8BCE-55C5-E053-6B04A8C0D090},22654251,101.12,6.0,11,56,69,England and Wales: 1983-1990,51.54236,-3.26986
3135.51401869159,2019,2019-07-12,D,F,335500,CF15 9SP,W06000015,{8F1B26BE-4F55-53DB-E053-6C04A8C03649},22685404,107.0,7.0,11,70,85,England and Wales: 1991-1995,51.54236,-3.26986
3674.69879518072,2021,2021-02-12,D,F,305000,CF15 9SP,W06000015,{C18F412B-6F05-81A6-E053-6B04A8C0AD18},22655760,83.0,6.0,11,69,85,England and Wales: 1983-1990,51.54236,-3.26986
3272.72727272727,2021,2021-12-22,T,F,180000,CF15 9SR,W06000015,{DE2D0CE0-4B80-51EE-E053-6C04A8C00671},22748202,55.0,4.0,11,72,89,England and Wales: 1983-1990,51.54184,-3.2698999
3357.14285714286,2021,2021-07-16,T,F,188000,CF15 9SR,W06000015,{D707E536-1FD2-0AD9-E053-6B04A8C067CC},22706638,56.0,3.0,11,72,116,England and Wales: 1967-1975,51.54184,-3.2698999
2514.08450704225,2020,2020-01-20,T,F,178500,CF15 9SR,W06000015,{9FF0D96A-4371-11ED-E053-6C04A8C06383},22713190,71.0,4.0,11,66,83,England and Wales: 1983-1990,51.54184,-3.2698999
2916.66666666667,2020,2020-01-17,T,F,175000,CF15 9SR,W06000015,{A71375FD-EF9E-7576-E053-6C04A8C0462F},22683213,60.0,3.0,11,65,88,England and Wales: 1983-1990,51.54184,-3.2698999
2723.88059701493,2020,2020-06-30,T,F,182500,CF15 9SR,W06000015,{AC07BBD0-85C6-0445-E053-6C04A8C01E31},22660641,67.0,4.0,11,60,84,England and Wales: 1983-1990,51.54184,-3.2698999
2448.71794871795,2019,2019-07-12,D,F,477500,CF15 9ST,W06000015,{93E6821E-EF9A-40FD-E053-6B04A8C0C1DF},22726685,195.0,8.0,11,66,76,England and Wales: 1991-1995,51.54319,-3.27023
3134.92063492063,2019,2019-07-19,D,F,395000,CF15 9SZ,W06000015,{8F1B26BE-5083-53DB-E053-6C04A8C03649},22706846,126.0,6.0,11,54,66,England and Wales: 1967-1975,51.52584,-3.32904
2960.0,2019,2019-01-25,D,F,370000,CF15 9TA,W06000015,{8355F009-881D-55C5-E053-6B04A8C0D090},22615134,125.0,6.0,11,68,81,England and Wales: 1967-1975,51.52856,-3.29743
3195.12195121951,2021,2021-06-11,D,F,655000,CF15 9TA,W06000015,{D4D42646-815B-27F6-E053-6C04A8C0A572},22746141,205.0,9.0,11,73,82,England and Wales: 1976-1982,51.52856,-3.29743
2725.27472527473,2019,2019-01-25,S,F,248000,CF15 9TB,W06000015,{8355F009-8C9E-55C5-E053-6B04A8C0D090},22674396,91.0,6.0,11,70,84,England and Wales: 1983-1990,51.52758,-3.29894
2780.58645096057,2021,2021-03-15,T,F,275000,CF15 9TB,W06000015,{C8A3A576-B8D2-0425-E053-6C04A8C0947B},22647886,98.9,5.0,12,40,71,England and Wales: 1967-1975,51.52758,-3.29894
2570.09345794393,2021,2021-06-11,S,F,275000,CF15 9TB,W06000015,{CD5A9DCC-7462-310A-E053-6C04A8C00A1F},22729249,107.0,6.0,11,68,80,England and Wales: 1976-1982,51.52758,-3.29894
2959.18367346939,2020,2020-08-26,D,F,435000,CF15 9TE,W06000015,{B0A9D11B-E028-4C1F-E053-6C04A8C0D716},22664570,147.0,7.0,11,71,82,England and Wales: 1976-1982,51.5286,-3.29521
3080.80808080808,2019,2019-02-08,D,F,305000,CF15 9TE,W06000015,{85866A65-5B22-143F-E053-6B04A8C06A15},22708107,99.0,6.0,11,65,82,England and Wales: 1967-1975,51.5286,-3.29521
3188.67924528302,2021,2021-09-08,D,F,338000,CF15 9TF,W06000015,{DBA933FA-295C-669D-E053-6B04A8C0AD56},22684188,106.0,6.0,12,41,84,England and Wales: 1967-1975,51.52785,-3.29664
2517.98561151079,2020,2020-03-06,D,F,350000,CF15 9TG,W06000015,{A71375FD-F09C-7576-E053-6C04A8C0462F},22730911,139.0,6.0,11,68,82,England and Wales: 1983-1990,51.5279,-3.29621
3119.65811965812,2022,2022-02-23,D,F,365000,CF15 9TH,W06000015,{DE2D0CE0-4FD7-51EE-E053-6C04A8C00671},22743101,117.0,6.0,11,58,79,England and Wales: 1967-1975,51.52852,-3.29352
3061.22448979592,2020,2020-02-14,D,F,300000,CF15 9TJ,W06000015,{A2479555-A923-74C7-E053-6B04A8C0887D},22724158,98.0,6.0,11,44,82,England and Wales: 1967-1975,51.52955,-3.29545
3320.35253125641,2020,2020-08-07,D,F,324000,CF15 9TJ,W06000015,{B32EBB13-FABD-3C99-E053-6C04A8C09CA1},22648068,97.58,6.0,11,52,74,England and Wales: 1976-1982,51.52955,-3.29545
2567.94350524288,2020,2020-10-30,F,L,120000,CF15 9TN,W06000015,{D707E534-FAE6-0AD9-E053-6B04A8C067CC},22704362,46.73,3.0,12,72,81,England and Wales: 1996-2002,51.5306799,-3.29919
3095.2380952381,2022,2022-03-18,D,F,325000,CF15 9TQ,W06000015,{DE2D0CE0-4F19-51EE-E053-6C04A8C00671},22620105,105.0,5.0,12,67,85,England and Wales: 1996-2002,51.52064,-3.32204
3285.71428571429,2021,2021-06-11,D,F,460000,CF15 9TQ,W06000015,{C8A3A576-BB7F-0425-E053-6C04A8C0947B},22732556,140.0,7.0,11,59,77,England and Wales: 1996-2002,51.52064,-3.32204
2806.12244897959,2021,2021-01-22,D,F,550000,CF15 9TQ,W06000015,{C3C3F9B6-6E78-362B-E053-6B04A8C03ACC},22717377,196.0,9.0,11,69,78,England and Wales: 1991-1995,51.52064,-3.32204
2573.76237623762,2021,2021-01-22,S,F,259950,CF15 9TR,W06000015,{BEF7EBBF-6DF4-7A76-E053-6B04A8C092F7},22644731,101.0,6.0,11,74,87,England and Wales: 1983-1990,51.53946,-3.26743
3534.48275862069,2022,2022-05-27,T,F,205000,CF15 9TR,W06000015,{E2D14906-34C5-4C2D-E053-6B04A8C0422B},22744645,58.0,4.0,11,69,90,England and Wales: 2003-2006,51.53946,-3.26743
3333.33333333333,2021,2021-09-03,S,F,200000,CF15 9TR,W06000015,{D93B27B1-869D-3100-E053-6C04A8C08887},22683599,60.0,4.0,12,66,87,England and Wales: 1976-1982,51.53946,-3.26743
3161.61616161616,2020,2020-08-20,D,F,313000,CF15 9TT,W06000015,{B32EBB13-5F91-3C99-E053-6C04A8C09CA1},22736292,99.0,6.0,11,64,81,England and Wales: 1996-2002,51.53945,-3.26619
2518.7969924812,2021,2021-03-12,D,F,335000,CF15 9TT,W06000015,{C3C3F9B5-820E-362B-E053-6B04A8C03ACC},22743715,133.0,7.0,12,69,82,England and Wales: 1996-2002,51.53945,-3.26619
2827.1736458248,2021,2021-01-14,D,F,345000,CF15 9TT,W06000015,{BEF7EBBE-ACBF-7A76-E053-6B04A8C092F7},22675704,122.03,7.0,11,64,72,England and Wales: 1996-2002,51.53945,-3.26619
3718.44660194175,2021,2021-11-05,T,F,383000,CF23 5AB,W06000015,{DE2D0CDF-7258-51EE-E053-6C04A8C00671},22706208,103.0,4.0,11,44,73,England and Wales: 1900-1929,51.49499,-3.15327
3296.7032967033,2019,2019-05-14,T,F,300000,CF23 5AB,W06000015,{8F1B26BD-77A6-53DB-E053-6C04A8C03649},22725355,91.0,5.0,11,39,73,England and Wales: 1900-1929,51.49499,-3.15327
3333.33333333333,2020,2020-07-31,T,F,340000,CF23 5AB,W06000015,{B0A9D11B-DE75-4C1F-E053-6C04A8C0D716},22685448,102.0,5.0,11,68,85,England and Wales: 1900-1929,51.49499,-3.15327
3117.64705882353,2022,2022-03-30,S,F,530000,CF23 5AD,W06000015,{E073986B-E5E7-2134-E053-6C04A8C0233B},22735178,170.0,8.0,11,57,76,England and Wales: 1900-1929,51.49375,-3.15601
2916.66666666667,2020,2020-10-26,T,F,385000,CF23 5AF,W06000015,{BC8936BC-1019-0E2C-E053-6C04A8C0DBF4},22689716,132.0,5.0,12,70,85,England and Wales: before 1900,51.49642,-3.15551
3069.30693069307,2019,2019-12-19,T,F,310000,CF23 5AF,W06000015,{9DBAD221-823C-6EB3-E053-6B04A8C0F257},22695923,101.0,6.0,11,53,84,England and Wales: 1900-1929,51.49642,-3.15551
3424.65753424658,2022,2022-05-31,T,F,500000,CF23 5AG,W06000015,{E2D14906-323B-4C2D-E053-6B04A8C0422B},22748982,146.0,7.0,11,68,77,England and Wales: 1930-1949,51.4961399,-3.1552699
2969.92481203008,2019,2019-08-28,T,F,395000,CF23 5AG,W06000015,{93E6821E-156D-40FD-E053-6B04A8C0C1DF},22688963,133.0,6.0,11,61,75,England and Wales: 1900-1929,51.4961399,-3.1552699
3521.73913043478,2020,2020-11-30,T,F,405000,CF23 5AG,W06000015,{BA558B32-4F93-76EF-E053-6B04A8C0B4B7},22616284,115.0,5.0,11,52,73,England and Wales: 1900-1929,51.4961399,-3.1552699
4108.69565217391,2022,2022-05-14,T,F,567000,CF23 5AG,W06000015,{E2D14905-37A7-4C2D-E053-6B04A8C0422B},22754212,138.0,6.0,11,69,76,England and Wales: 1930-1949,51.4961399,-3.1552699
3148.14814814815,2021,2021-04-01,T,F,340000,CF23 5AG,W06000015,{C8A3A576-B9E2-0425-E053-6C04A8C0947B},22743637,108.0,7.0,11,61,83,England and Wales: 1930-1949,51.4961399,-3.1552699
3238.09523809524,2020,2020-02-14,S,F,340000,CF23 5AG,W06000015,{9FF0D96A-4215-11ED-E053-6C04A8C06383},22737426,105.0,5.0,11,52,79,England and Wales: 1900-1929,51.4961399,-3.1552699
3200.0,2020,2020-03-27,S,F,400000,CF23 5AH,W06000015,{A96E4ACC-A115-9205-E053-6C04A8C0DA09},22698909,125.0,7.0,11,59,77,England and Wales: 1900-1929,51.49564,-3.15477
3208.55614973262,2019,2019-06-07,T,F,360000,CF23 5AH,W06000015,{8F1B26BE-4CBC-53DB-E053-6C04A8C03649},22669724,112.2,5.0,11,50,59,England and Wales: before 1900,51.49564,-3.15477
3779.44722685958,2020,2020-09-28,T,F,407500,CF23 5AH,W06000015,{B5755FFD-D675-7D01-E053-6C04A8C036B6},22707140,107.82,7.0,11,37,39,England and Wales: 1900-1929,51.49564,-3.15477
4078.94736842105,2022,2022-05-27,T,F,465000,CF23 5AH,W06000015,{E2D14905-2FD3-4C2D-E053-6B04A8C0422B},22660227,114.0,5.0,11,60,85,England and Wales: 1900-1929,51.49564,-3.15477
3114.12213740458,2019,2019-07-26,D,F,407950,CF23 5AH,W06000015,{919FEC05-E0F3-9A90-E053-6C04A8C0A300},22713830,131.0,6.0,11,45,72,England and Wales: 1900-1929,51.49564,-3.15477
3669.7247706422,2021,2021-02-22,T,F,400000,CF23 5AH,W06000015,{BEF7EBBF-693B-7A76-E053-6B04A8C092F7},22703683,109.0,5.0,12,67,86,England and Wales: before 1900,51.49564,-3.15477
